iter	Passed	Remaining
750	1429	17603
751	1431	17604
752	1433	17601
753	1435	17598
754	1436	17591
755	1438	17585
756	1439	17582
757	1441	17580
758	1443	17572
759	1444	17566
760	1446	17561
761	1448	17560
762	1450	17554
763	1451	17551
764	1453	17548
765	1455	17543
766	1456	17536
767	1458	17533
768	1460	17529
769	1461	17524
770	1463	17516
771	1465	17512
772	1466	17508
773	1468	17503
774	1470	17501
775	1472	17500
776	1474	17497
777	1475	17493
778	1477	17485
779	1479	17483
780	1480	17477
781	1482	17475
782	1484	17469
783	1485	17463
784	1487	17458
785	1488	17454
786	1490	17451
787	1492	17446
788	1494	17443
789	1495	17437
790	1497	17432
791	1499	17428
792	1500	17423
793	1502	17419
794	1503	17414
795	1505	17408
796	1507	17406
797	1509	17402
798	1510	17397
799	1512	17394
800	1514	17390
801	1515	17386
802	1517	17381
803	1519	17379
804	1521	17374
805	1522	17368
806	1524	17364
807	1526	17361
808	1528	17363
809	1530	17358
810	1531	17356
811	1533	17351
812	1535	17347
813	1536	17342
814	1538	17336
815	1539	17331
816	1541	17326
817	1543	17322
818	1544	17316
819	1546	17313
820	1548	17309
821	1549	17303
822	1551	17301
823	1553	17297
824	1555	17293
825	1556	17288
826	1558	17284
827	1560	17281
828	1561	17279
829	1563	17275
830	1565	17268
831	1566	17265
832	1568	17263
833	1570	17256
834	1571	17252
835	1573	17246
836	1574	17241
837	1576	17236
838	1578	17233
839	1579	17226
840	1581	17224
841	1583	17218
842	1584	17214
843	1586	17210
844	1588	17205
845	1589	17201
846	1591	17197
847	1593	17193
848	1595	17192
849	1596	17188
850	1598	17183
851	1599	17178
852	1601	17172
853	1603	17170
854	1604	17164
855	1606	17161
856	1608	17157
857	1609	17152
858	1611	17146
859	1613	17144
860	1614	17140
861	1616	17138
862	1618	17134
863	1620	17131
864	1622	17130
865	1623	17127
866	1625	17122
867	1627	17119
868	1628	17116
869	1630	17114
870	1632	17110
871	1634	17107
872	1635	17103
873	1637	17099
874	1639	17093
875	1640	17090
876	1642	17085
877	1644	17081
878	1645	17079
879	1647	17074
880	1649	17069
881	1650	17064
882	1652	17062
883	1654	17059
884	1655	17053
885	1657	17051
886	1659	17048
887	1661	17044
888	1662	17041
889	1664	17037
890	1666	17034
